用户名,UID,评论视频标题,评论视频 BV,评论内容,评论时间,IP 属地
"Avichaii",77187556,"","101489078195820955","本人身高172，体重58，胸围E，颜值7分，读书的时候是班花。[doge]研究生学历，毕业年薪30来个。  咸楠们，网络上再怎么喷，现实是相反的。我看攻击我的小咸楠还有得YYZ的，只能说笑死我了。  我根本不缺楠的喜欢。有腆🐶黏上来，条件太差我都是直接删除的。而且我有对象，他追我。在一块儿一个月就为了我换城市，任我差遣。除了在一起第一年我不愿意，其它时候都想带我回家过年。我对象随时可以和我领证。你们呢？","2024-12-25 22:16","安徽"
"孤十",429906523,"华为: 这段话现在已经成真","BV1X14y167xx","4g手机卖9000[笑哭][笑哭]","2023-09-10 17","黑龙江"
"鱼安慰",1482451155,"中国的转基因大豆和玉米种植现在开放了？农业农村部回应！","BV1sQ4y1c7BW","基因决定物种，你表面看着是玉米，吃进去的本质可能就是蜘蛛，只是一个有玉米口感的蜘蛛","2024-01-23 13:48","山西"
