用户名,UID,评论视频标题,评论视频 BV,评论内容,评论时间,IP 属地
"Ryvminer",14738480,"以色列的正版国旗","BV1B841167rq","希望你有胆子在德国或以色列展示你的作品[抠鼻]","2023-10-18 13:17","河北"
"沙漠屠夫2010",322807253,"一名哈马斯卡桑旅战士受伤后用祈祷的姿势度过了最后的时刻","BV15p4y1o7uy","是引渡！你一个吃猪肉的跟着闹什么？","2023-12-30 11","重庆"
"pengpa113",384731410,"","862023996720283648","甲村民只能议论隔壁村是多么差，乙村民只能议论自己村是多么差，反之则会被严厉惩罚。那么作为一个普通村民，你在哪个村活着会更幸福呢？","2023-11-12","新疆"
"海森堡归来",1651150707,"【整点乐子】天天吹哈马斯 亚辛105，这下很多碗友要破防了！🤣","BV1Si4y1Y7NW","然后呢?打烂了几台车就赢了?这玩意本来就是消耗品看看你的蛤蟆皮都要成地鼠了","2023-12-12","湖南"
"jtwmr",3493146587564167,"巴勒斯坦加沙——遭以色列围困十几年，沦为“全球最大露天集中营”！【乌鸦校尉】","BV1dT4y1z7tF","胡说八道","2023-10-11","广西"
"muzzy可怜又可悲",3546576848947670,"","868260912014819347","又一蛤蟆超人要表演体操的时候被干了哦,哈儿子速来哭哭","2023-11-26 18:55","江苏"
